iter	Passed	Remaining
357	621	1114
358	622	1111
359	623	1108
360	624	1104
361	625	1101
362	625	1098
363	626	1095
364	627	1091
365	628	1088
366	629	1085
367	630	1082
368	631	1079
369	631	1076
370	632	1072
371	633	1070
372	634	1067
373	636	1066
374	638	1063
375	639	1061
376	640	1058
377	641	1055
378	642	1052
379	642	1048
380	643	1045
381	644	1042
382	645	1039
383	645	1036
384	646	1033
385	647	1030
386	648	1027
387	649	1024
388	650	1021
389	650	1018
390	651	1015
391	652	1012
392	653	1009
393	654	1006
394	655	1003
395	655	1000
396	656	997
397	657	994
398	658	991
399	659	988
400	660	986
401	661	983
402	662	980
403	662	978
404	663	975
405	664	972
406	665	970
407	666	967
408	667	964
409	668	961
410	669	959
411	670	956
412	671	953
413	672	951
414	673	948
415	673	946
416	674	943
417	675	940
418	676	937
419	677	935
420	678	932
421	679	930
422	680	928
423	681	925
424	682	923
425	683	920
426	684	918
427	685	915
428	685	913
429	686	910
430	687	907
431	688	905
432	689	902
433	690	900
434	691	897
435	691	895
436	692	892
437	693	889
438	694	887
439	695	884
440	696	882
441	696	879
442	697	877
443	698	874
444	699	872
445	700	869
446	701	867
447	702	865
448	703	863
449	704	861
450	706	859
451	707	857
452	708	854
453	709	852
454	709	850
455	710	847
456	711	845
457	712	842
458	713	840
459	713	838
460	714	835
461	715	833
462	716	831
463	717	828
464	718	826
